datetime,temperature,humidity,pressure,wind_speed,wind_direction,precipitation,cloud_cover,uv_index,visibility,latitude,longitude,elevation,month,hour,day_of_week
2020-01-01 00:00:00,16.75,77.22,1022.97,0.85,271.38,0.0,85.46,0.0,23.81,36.0181,-68.5804,20.07,1,0,2
2020-01-01 01:00:00,13.71,71.79,974.25,1.9,240.94,0.0,51.01,0.0,21.34,33.6794,-95.4022,153.79,1,1,2
2020-01-01 02:00:00,16.13,64.85,1005.46,5.02,194.42,0.0,42.87,0.0,22.93,34.6957,-55.4832,13.02,1,2,2
2020-01-01 03:00:00,15.12,79.85,1010.37,5.95,214.84,0.0,100.0,0.0,24.4,42.8992,-65.1884,254.94,1,3,2
2020-01-01 04:00:00,17.41,75.06,991.82,9.51,151.81,0.0,65.2,0.0,18.97,43.9536,-77.8568,7.75,1,4,2
2020-01-01 05:00:00,20.71,84.31,1027.59,1.23,243.56,0.0,44.83,0.0,23.77,38.9355,-78.1098,39.33,1,5,2
2020-01-01 06:00:00,22.7,87.41,1013.28,1.64,261.43,0.0,75.35,0.0,24.34,40.3545,-58.3596,73.97,1,6,2
2020-01-01 07:00:00,20.36,75.11,993.26,4.7,266.35,0.0,52.07,0.99,19.5,32.8202,-66.5689,8.01,1,7,2
2020-01-01 08:00:00,20.33,70.72,1028.45,9.43,225.71,0.0,58.03,1.68,24.87,33.6923,-77.2826,25.87,1,8,2
2020-01-01 09:00:00,27.61,66.99,975.07,2.67,228.45,0.0,60.38,2.24,22.97,42.8622,-94.2291,121.41,1,9,2
2020-01-01 10:00:00,25.36,70.97,986.3,3.21,207.39,1.88,65.7,2.38,19.15,45.4903,-76.5963,27.39,1,10,2
2020-01-01 11:00:00,24.98,60.33,1032.39,2.99,254.86,0.0,69.3,2.37,21.16,46.5814,-52.1014,9.46,1,11,2
2020-01-01 12:00:00,23.78,82.21,1041.02,1.82,262.42,0.0,75.5,1.96,19.33,46.0762,-83.1529,48.9,1,12,2
2020-01-01 13:00:00,22.74,70.59,1027.79,10.31,135.89,0.0,32.36,5.23,23.31,43.3116,-66.1878,41.4,1,13,2
2020-01-01 14:00:00,28.49,60.54,1025.01,2.32,282.0,0.0,51.83,3.34,25.64,42.4611,-86.1745,117.73,1,14,2
2020-01-01 15:00:00,20.22,82.39,1001.29,3.9,254.94,0.0,80.36,1.11,22.59,48.9334,-55.0381,9.84,1,15,2
2020-01-01 16:00:00,18.65,69.36,1029.25,6.96,191.61,0.0,96.51,0.14,23.25,26.6487,-74.3513,128.18,1,16,2
2020-01-01 17:00:00,18.34,82.15,1012.87,2.07,246.64,0.0,72.82,0.56,21.64,32.2449,-89.1545,190.47,1,17,2
2020-01-01 18:00:00,17.48,72.89,1027.02,7.95,206.76,0.0,61.77,0.0,21.09,51.287,-73.4924,135.0,1,18,2
2020-01-01 19:00:00,22.21,84.77,995.85,10.28,141.99,0.0,75.54,0.0,29.23,46.4217,-62.6503,121.06,1,19,2
2020-01-01 20:00:00,18.45,79.0,999.36,2.46,104.95,0.0,62.6,0.0,21.03,22.8278,-70.433,89.36,1,20,2
2020-01-01 21:00:00,15.31,90.64,1017.75,9.28,126.82,0.0,61.56,0.0,21.37,41.1685,-80.522,77.79,1,21,2
2020-01-01 22:00:00,20.02,84.27,1017.14,3.83,214.29,0.0,60.75,0.0,18.23,32.9946,-57.393,19.03,1,22,2
2020-01-01 23:00:00,14.0,74.26,1043.52,7.21,208.21,0.0,91.24,0.0,24.64,25.5191,-78.8483,44.0,1,23,2
2020-01-02 00:00:00,14.8,98.88,1016.87,4.94,124.04,0.0,49.18,0.0,17.51,56.1435,-60.7734,4.64,1,0,3
2020-01-02 01:00:00,20.01,61.63,1034.72,7.01,176.7,0.0,52.29,0.0,22.64,41.4108,-77.8591,281.73,1,1,3
2020-01-02 02:00:00,10.49,96.41,1008.15,5.48,298.91,0.0,83.72,0.0,20.14,35.8485,-71.93,38.42,1,2,3
2020-01-02 03:00:00,15.21,88.33,1022.84,6.37,126.94,0.0,82.85,0.0,22.43,32.4228,-79.6078,138.88,1,3,3
2020-01-02 04:00:00,12.65,69.67,1007.54,14.64,234.72,0.0,79.03,0.0,22.15,36.6336,-71.3898,232.84,1,4,3
2020-01-02 05:00:00,23.14,73.7,1027.9,3.61,143.12,0.0,63.82,0.0,22.37,41.6828,-68.0544,99.92,1,5,3
2020-01-02 06:00:00,15.14,75.42,1035.83,7.98,86.99,0.0,49.85,0.0,22.44,19.8126,-56.3017,218.66,1,6,3
2020-01-02 07:00:00,19.33,73.32,1024.03,5.66,122.38,0.0,62.33,0.78,21.65,36.0024,-71.6855,8.87,1,7,3
2020-01-02 08:00:00,26.48,66.04,1007.94,1.12,235.63,0.0,22.28,3.11,26.54,37.6896,-74.0516,63.24,1,8,3
2020-01-02 09:00:00,25.02,63.71,1025.76,16.89,244.25,0.0,61.32,2.19,22.83,42.9537,-73.8801,7.67,1,9,3
2020-01-02 10:00:00,26.27,71.53,1052.16,6.3,175.4,0.0,75.23,1.72,26.48,39.6035,-64.2429,96.79,1,10,3
2020-01-02 11:00:00,22.83,67.74,986.22,4.56,118.71,0.0,59.32,3.14,26.98,50.217,-79.775,115.43,1,11,3
2020-01-02 12:00:00,27.74,84.57,1028.63,10.05,142.06,0.0,66.55,2.68,20.98,43.6676,-84.9795,47.95,1,12,3
2020-01-02 13:00:00,25.0,84.38,994.25,0.12,114.29,0.0,67.58,2.51,21.66,36.2121,-67.7775,59.88,1,13,3
2020-01-02 14:00:00,20.74,80.76,1034.1,1.87,243.5,0.0,68.25,2.2,26.02,41.8614,-58.4934,191.18,1,14,3
2020-01-02 15:00:00,30.23,85.37,1014.48,0.2,210.58,2.81,100.0,0.0,17.59,36.3763,-77.4291,1.47,1,15,3
2020-01-02 16:00:00,26.19,53.46,1000.49,11.04,31.67,0.0,65.3,1.39,24.8,56.999,-87.807,198.31,1,16,3
2020-01-02 17:00:00,21.77,82.55,1014.03,18.72,56.32,0.0,82.88,0.35,18.86,39.4837,-74.759,13.8,1,17,3
2020-01-02 18:00:00,21.62,65.31,1010.54,10.35,95.23,0.0,37.46,0.0,24.48,35.4102,-81.9347,19.48,1,18,3
2020-01-02 19:00:00,14.92,78.15,1019.11,4.72,24.77,0.0,70.24,0.0,24.59,49.2263,-80.2096,137.94,1,19,3
2020-01-02 20:00:00,16.42,73.1,1014.11,3.53,26.88,0.0,83.16,0.0,22.19,46.4784,-70.8935,71.68,1,20,3
2020-01-02 21:00:00,14.06,81.54,1041.08,0.0,21.11,0.0,62.43,0.0,21.75,30.1002,-80.5497,39.67,1,21,3
2020-01-02 22:00:00,21.25,83.82,1018.07,0.0,261.03,0.0,89.9,0.0,22.7,30.3403,-75.9094,33.38,1,22,3
2020-01-02 23:00:00,19.87,63.0,989.46,19.89,232.56,0.0,44.98,0.0,23.22,36.1317,-80.2659,17.52,1,23,3
2020-01-03 00:00:00,14.0,72.16,1018.85,0.91,130.14,0.0,54.15,0.0,20.97,34.9451,-66.4521,18.74,1,0,4
2020-01-03 01:00:00,17.53,80.05,1048.73,0.0,281.09,0.0,55.57,0.0,19.99,43.5104,-101.4155,27.76,1,1,4
2020-01-03 02:00:00,17.22,69.18,1027.61,0.0,88.07,0.0,45.57,0.0,23.18,32.1087,-77.8516,6.55,1,2,4
2020-01-03 03:00:00,15.43,87.26,1034.56,2.6,237.78,0.0,43.25,0.0,19.21,42.4101,-73.1121,20.0,1,3,4
2020-01-03 04:00:00,18.53,75.62,1035.42,0.0,210.27,0.0,53.18,0.0,21.57,44.6573,-78.2158,109.42,1,4,4
2020-01-03 05:00:00,12.86,85.32,1013.78,6.49,255.12,0.0,58.11,0.0,17.01,51.2287,-82.4414,69.86,1,5,4
2020-01-03 06:00:00,21.75,72.41,1030.2,9.85,68.55,0.0,35.75,0.0,25.05,44.0978,-78.1589,96.78,1,6,4
2020-01-03 07:00:00,24.97,72.85,1010.36,0.0,228.03,0.0,80.93,0.39,23.52,37.2375,-65.7146,172.18,1,7,4
2020-01-03 08:00:00,22.46,64.24,1010.92,0.0,228.62,0.0,64.44,1.42,26.29,44.8471,-55.238,29.01,1,8,4
2020-01-03 09:00:00,21.13,69.96,1020.04,0.63,257.85,0.0,58.68,2.34,28.29,38.6843,-73.5368,205.67,1,9,4
2020-01-03 10:00:00,25.43,78.91,1024.6,4.26,222.41,0.0,91.36,0.6,24.8,56.6447,-79.1182,272.37,1,10,4
2020-01-03 11:00:00,25.33,79.54,1055.35,0.73,241.18,0.0,79.7,1.57,20.88,49.2353,-97.2134,252.39,1,11,4
2020-01-03 12:00:00,21.9,61.53,1012.12,0.0,310.14,0.0,45.53,4.36,23.3,13.7439,-74.5489,246.33,1,12,4
2020-01-03 13:00:00,28.84,50.48,1001.78,14.59,240.74,0.0,28.39,5.53,24.62,40.7198,-72.4234,90.48,1,13,4
2020-01-03 14:00:00,25.15,71.64,1019.89,0.0,200.32,0.0,56.82,2.99,21.75,33.5843,-72.9417,149.4,1,14,4
2020-01-03 15:00:00,28.48,42.63,985.61,2.69,133.28,0.0,38.45,3.48,25.23,39.214,-68.7284,31.57,1,15,4
2020-01-03 16:00:00,19.94,93.57,1030.69,0.0,282.27,0.0,85.68,0.57,18.38,35.4676,-69.1123,105.77,1,16,4
2020-01-03 17:00:00,21.02,72.9,1028.72,8.53,147.38,0.0,83.01,0.35,20.7,34.1405,-83.3796,226.66,1,17,4
2020-01-03 18:00:00,21.75,62.09,1030.23,7.5,190.12,0.0,39.1,0.0,20.97,25.1465,-67.9459,97.86,1,18,4
2020-01-03 19:00:00,23.22,51.73,989.92,13.98,165.57,0.0,55.96,0.0,24.77,37.3556,-60.5456,2.27,1,19,4
2020-01-03 20:00:00,19.2,59.54,995.84,0.07,239.6,0.0,47.91,0.0,24.74,35.3152,-81.789,1.86,1,20,4
2020-01-03 21:00:00,12.35,87.64,1045.99,8.33,234.54,0.0,94.42,0.0,24.38,30.6752,-68.903,245.82,1,21,4
2020-01-03 22:00:00,10.92,70.47,1006.38,0.56,189.33,0.0,59.18,0.0,21.44,34.5976,-88.0726,34.07,1,22,4
